Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,James Harden,25,HOU,SG,81,81,2981,7.8,17.8,.440,2.5,6.7,.375,5.3,11.0,.480,.511,8.6,10.0,.868,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8,MVP-2ASNBA1,hardeja01
2,Andrew Wiggins,19,MIN,SF,82,82,2969,6.0,13.8,.437,0.5,1.5,.310,5.6,12.3,.453,.454,4.3,5.7,.760,1.6,2.9,4.5,2.1,1.0,0.6,2.1,2.3,16.8,ROY-1,wiggian01
3,Trevor Ariza,29,HOU,SF,82,82,2930,4.5,11.2,.402,2.4,6.8,.350,2.1,4.4,.485,.509,1.5,1.8,.853,0.9,4.7,5.6,2.6,1.9,0.2,1.7,2.3,12.9,DPOY-13,arizatr01
4,Damian Lillard,24,POR,PG,82,82,2925,7.3,16.7,.434,2.4,7.0,.343,4.8,9.7,.500,.506,4.2,4.9,.864,0.6,4.0,4.7,6.2,1.2,0.3,2.7,2.0,21.2,AS,lillada01
5,Chris Paul,29,LAC,PG,82,82,2857,7.2,14.7,.485,1.8,4.4,.398,5.4,10.3,.523,.545,3.6,4.0,.900,0.7,4.1,4.7,10.6,2.0,0.2,2.4,2.6,19.7,MVP-6DPOY-15ASNBA2DEF1,paulch01
6,John Wall,24,WAS,PG,79,79,2837,6.6,14.8,.445,0.8,2.8,.300,5.8,12.0,.478,.473,3.6,4.6,.785,0.5,4.2,4.6,10.1,1.8,0.6,3.9,2.3,17.6,ASDEF2,walljo01
7,DeAndre Jordan,26,LAC,C,82,82,2820,4.8,6.8,.710,0.0,0.1,.250,4.8,6.8,.713,.711,2.4,6.0,.397,5.1,10.6,15.7,0.8,1.0,2.3,1.4,3.1,12.1,DPOY-3NBA3DEF1,jordade01
8,Eric Bledsoe,25,PHO,PG,81,81,2800,6.0,13.4,.447,1.1,3.5,.324,4.9,10.0,.491,.489,4.5,5.7,.800,0.9,4.5,5.4,6.3,1.6,0.6,3.5,2.4,17.7,,bledser01
9,Joe Johnson,33,BRK,SG,80,80,2791,5.8,13.2,.435,1.6,4.3,.359,4.2,8.9,.472,.494,1.8,2.3,.801,0.7,4.3,5.0,3.8,0.8,0.2,1.8,1.5,14.9,,johnsjo02
10,Kyrie Irving,22,CLE,PG,75,75,2730,7.6,16.3,.468,2.1,5.0,.415,5.6,11.3,.491,.532,4.2,4.8,.863,0.7,2.4,3.1,5.1,1.5,0.3,2.5,1.9,21.5,ASNBA3,irvinky01
